Time,Particles > 2.5um / 0.1L air,Temperature,Gas,Pressure,Altitude,Humidity
253,4,33.84171875,157083,1002.5388575734822,89.56168907233537,16.03092313656192
254,4,33.8212109375,156804,1002.577183818557,89.23984423602408,16.06003698875101
255,4,33.8118359375,157362,1002.6004178997471,89.04474077214331,15.828341922440838
256,4,33.806171875,156250,1002.5981517922567,89.06376978706099,16.210276161542115
257,4,33.8219921875,155700,1002.645139583662,88.66920984635887,16.140604376557015
258,4,33.8473828125,155700,1002.681496667944,88.3639270092781,16.19733447771113
259,4,33.876484375,155700,1002.716917770762,88.06651203261906,16.16864427721705
260,4,33.913203125,155974,1002.7630696968371,87.67900795019919,16.281440486400413
261,2,33.9425,155700,1002.7584458886564,87.71783004620373,16.318290877063923
262,2,33.9739453125,155563,1002.7854197387875,87.49135612915538,16.198962765999543
263,2,34.0040234375,155154,1002.7504770420528,87.7847378608627,15.963929301652161
264,2,34.041328125,154882,1002.7291260029796,87.96400700067757,16.13197589576407
265,2,34.0821484375,154341,1002.7521446459551,87.77073633439396,16.21474895892305
266,2,34.1159375,154341,1002.7811897609541,87.52687092766317,16.261914485177677
267,2,34.150703125,154476,1002.7925226248798,87.43172073053596,16.329343458701313
268,2,34.189375,153804,1002.8049857692217,87.32708175699915,16.376832294831203
269,2,34.2575390625,154476,1002.7955405102105,87.40638285280689,16.37036583302568
270,2,34.3184765625,153537,1002.8005713531088,87.36414451236152,16.086072061457138
271,2,34.3661328125,153139,1002.8224607627037,87.18036570930707,16.497448475578675
272,2,34.4059765625,152874,1002.8473492396463,86.97141132407174,16.459139221412716
273,4,34.4426953125,152347,1002.842525762486,87.0119071142674,16.10771617900204
274,4,34.49171875,153271,1002.8525840536719,86.92746230914557,16.135505811362094
275,4,34.5305859375,151434,1002.8758567812432,86.73207777867042,16.107296815361615
276,2,34.560859375,151175,1002.8973441332399,86.55168550152689,16.47250429636643
277,2,34.5919140625,150789,1002.9201091190272,86.36057054856371,16.438769062623035
278,2,34.62453125,151564,1002.9647560478234,85.98576409852754,16.52146112902511
279,2,34.6778515625,149894,1002.9379012843289,86.21120550185736,16.29678178441212
280,2,34.7633984375,150532,1002.9304247994738,86.27397025479826,16.49351029187298
281,2,34.844453125,150276,1002.9788223128895,85.86768202505763,16.523188820031944
282,2,34.9253125,150149,1003.0216095460077,85.50850428760057,16.53261591369077
283,2,34.9887890625,150789,1003.011304844573,85.5950060440736,16.394281931556122
284,2,35.0438671875,150149,1003.0118398737992,85.59051477854347,16.270781177185295
285,2,35.0801953125,150660,1003.0713217895328,85.09121008044538,16.060548561337722
286,2,35.1024609375,151954,1003.0849238589888,84.97703459089631,15.915432017136462
287,2,35.1110546875,152874,1003.1113014389282,84.75562530337092,15.749626153589915
288,4,35.099921875,152347,1003.0860407547307,84.9676594468413,15.402181847041229
289,4,35.0723828125,153139,1003.0743518375795,85.06577581131359,15.390747758169859
290,4,35.041328125,153271,1003.079756731631,85.02040720335518,15.404231592809147
291,4,34.99484375,153804,1003.0598903130823,85.18716662674088,15.30155003039762
292,4,34.898359375,153271,1003.049529774457,85.27413441719645,15.351846627530477
293,4,34.813984375,153006,1003.0607211752381,85.18019228669034,15.147205232691164
294,4,34.741328125,153139,1003.0594458391679,85.19089758716345,15.313852961043903
295,4,34.6719921875,153139,1003.0530446712188,85.24462980737688,15.606348798150291
296,4,34.5641796875,151824,1003.0538528626842,85.23784572982007,15.480384844737262
297,4,34.443671875,153271,1003.06190668366,85.17024101851018,15.429149997525492
298,4,34.3407421875,153671,1003.0758722298785,85.05301363880118,15.514179437351803
299,4,34.2628125,154476,1003.0728208858063,85.07862663587508,15.650687596652087
300,6,34.182734375,153537,1003.080266041537,85.01613207306139,15.731934298275734
